site_name,location,current_part,threshold_miles,regime_added,latitude,longitude,conus,mirta_match
Schriever Space Force Base,"Colorado Springs, CO",2,100,2020_moved_2024,38.805792,-104.520474,Y,Schriever Space Force Base
Tinker Air Force Base,"Midwest City, OK",2,100,2020_moved_2024,35.404668,-97.392457,Y,Tinker Air Force Base
Townsend Bombing Range,"McIntosh County, GA",2,100,2024,31.5747,-81.3536,Y,MANUAL_COORDS
Tropic Regions Test Center,"Wahiawa, HI",2,100,2020,21.5067,-158.0031,N,MANUAL_COORDS
Utah Test and Training Range,"Barro, UT",2,100,2020,40.497005,-113.563247,Y,Utah Test and Training Range
Vance Air Force Base,"Enid, OK",2,100,2024,36.335961,-97.911806,Y,Vance AFB
Vandenberg Space Force Base,"Lompoc, CA",2,100,2020,34.713691,-120.557922,Y,Vandenberg Space Force Base
West Desert Test Center,"Dugway, UT",2,100,2020,40.1543,-113.2047,Y,MANUAL_COORDS
White Sands Missile Range,"White Sands Missile Range, NM",2,100,2020,33.162453,-106.42574,Y,White Sands Missile Range
Whiteman Air Force Base,"Knob Noster, MO",2,100,2024,38.729308,-93.551852,Y,Whiteman AFB
Wright-Patterson Air Force Base,"Dayton, OH",2,100,2020_moved_2024,39.817443,-84.050701,Y,Wright-Patterson Air Force Base
Yuma Proving Ground,"Yuma, AZ",2,100,2020,33.170069,-114.353451,Y,Yuma Proving Ground
